impl,size,workers,avg_seconds,runs
openmp_blocked,200,1,0.000000,10
openmp_blocked,200,2,0.000000,10
openmp_blocked,200,4,0.000000,10
openmp_blocked,200,8,0.000000,10
openmp_blocked,200,16,0.000000,10
openmp_blocked,200,32,0.010000,10
openmp_blocked,400,1,0.010000,10
openmp_blocked,400,2,0.010000,10
openmp_blocked,400,4,0.010000,10
openmp_blocked,400,8,0.010000,10
openmp_blocked,400,16,0.010000,10
openmp_blocked,400,32,0.012000,10
openmp_blocked,800,1,0.080000,10
openmp_blocked,800,2,0.059000,10
openmp_blocked,800,4,0.046000,10
openmp_blocked,800,8,0.047000,10
openmp_blocked,800,16,0.049000,10
openmp_blocked,800,32,0.051000,10
openmp_blocked,1200,1,0.242000,10
openmp_blocked,1200,2,0.176000,10
openmp_blocked,1200,4,0.127000,10
openmp_blocked,1200,8,0.121000,10
openmp_blocked,1200,16,0.115000,10
openmp_blocked,1200,32,0.117000,10
openmp_blocked,2000,1,1.018000,10
openmp_blocked,2000,2,0.634000,10
openmp_blocked,2000,4,0.482000,10
openmp_blocked,2000,8,0.412000,10
openmp_blocked,2000,16,0.378000,10
openmp_blocked,2000,32,0.399000,10
openmp_blocked,2400,1,1.796000,10
openmp_blocked,2400,2,1.087000,10
openmp_blocked,2400,4,0.796000,10
openmp_blocked,2400,8,0.663000,10
openmp_blocked,2400,16,0.633000,10
openmp_blocked,2400,32,0.621000,10
openmp_blocked,3000,1,3.256000,10
openmp_blocked,3000,2,2.013000,10
openmp_blocked,3000,4,1.431000,10
openmp_blocked,3000,8,1.159000,10
openmp_blocked,3000,16,1.057000,10
openmp_blocked,3000,32,1.084000,10
openmp_blocked,4000,1,7.810000,10
openmp_blocked,4000,2,4.737000,10
openmp_blocked,4000,4,3.174000,10
openmp_blocked,4000,8,2.457000,10
openmp_blocked,4000,16,2.356000,10
openmp_blocked,4000,32,2.376000,10
openmp_bt,200,1,0.000000,10
openmp_bt,200,2,0.000000,10
openmp_bt,200,4,0.000000,10
openmp_bt,200,8,0.000000,10
openmp_bt,200,16,0.000000,10
openmp_bt,200,32,0.006000,10
openmp_bt,400,1,0.011000,10
openmp_bt,400,2,0.010000,10
openmp_bt,400,4,0.010000,10
openmp_bt,400,8,0.010000,10
openmp_bt,400,16,0.010000,10
openmp_bt,400,32,0.011000,10
openmp_bt,800,1,0.083000,10
openmp_bt,800,2,0.057000,10
openmp_bt,800,4,0.048000,10
openmp_bt,800,8,0.042000,10
openmp_bt,800,16,0.041000,10
openmp_bt,800,32,0.047000,10
openmp_bt,1200,1,0.365000,10
openmp_bt,1200,2,0.272000,10
openmp_bt,1200,4,0.170000,10
openmp_bt,1200,8,0.139000,10
openmp_bt,1200,16,0.125000,10
openmp_bt,1200,32,0.124000,10
openmp_bt,2000,1,2.732000,10
openmp_bt,2000,2,1.798000,10
openmp_bt,2000,4,1.048000,10
openmp_bt,2000,8,0.684000,10
openmp_bt,2000,16,0.630000,10
openmp_bt,2000,32,0.806000,10
openmp_bt,2400,1,5.652000,10
openmp_bt,2400,2,3.266000,10
openmp_bt,2400,4,1.809000,10
openmp_bt,2400,8,1.158000,10
openmp_bt,2400,16,1.317000,10
openmp_bt,2400,32,1.487000,10
openmp_bt,3000,1,9.525000,10
openmp_bt,3000,2,6.089000,10
openmp_bt,3000,4,3.491000,10
openmp_bt,3000,8,2.196000,10
openmp_bt,3000,16,2.665000,10
openmp_bt,3000,32,3.547000,10
openmp_bt,4000,1,26.974000,10
openmp_bt,4000,2,15.822000,10
openmp_bt,4000,4,8.349000,10
openmp_bt,4000,8,5.019000,10
openmp_bt,4000,16,10.593000,10
openmp_bt,4000,32,15.481000,10
