algo,impl,N,workers,avg_seconds,runs
dart,fork,20000000,1,0.148350,5
dart,serial,20000000,1,0.444404,5
dart,threads,20000000,1,0.146581,5
dart,fork,20000000,2,0.081700,5
dart,threads,20000000,2,0.083410,5
dart,fork,20000000,4,0.050114,5
dart,threads,20000000,4,0.045598,5
dart,fork,20000000,8,0.048247,5
dart,threads,20000000,8,0.048693,5
dart,fork,20000000,16,0.037780,5
dart,threads,20000000,16,0.037578,5
dart,fork,40000000,1,0.312492,5
dart,serial,40000000,1,0.888769,5
dart,threads,40000000,1,0.287599,5
dart,fork,40000000,2,0.203055,5
dart,threads,40000000,2,0.159764,5
dart,fork,40000000,4,0.091376,5
dart,threads,40000000,4,0.129628,5
dart,fork,40000000,8,0.189011,5
dart,threads,40000000,8,0.089631,5
dart,fork,40000000,16,0.073218,5
dart,threads,40000000,16,0.075313,5
dart,fork,80000000,1,0.580519,5
dart,serial,80000000,1,1.794145,5
dart,threads,80000000,1,0.589888,5
dart,fork,80000000,2,0.338082,5
dart,threads,80000000,2,0.303164,5
dart,fork,80000000,4,0.232510,5
dart,threads,80000000,4,0.181075,5
dart,fork,80000000,8,0.170845,5
dart,threads,80000000,8,0.176166,5
dart,fork,80000000,16,0.134214,5
dart,threads,80000000,16,0.145273,5
dart,fork,200000000,1,1.478418,5
dart,serial,200000000,1,2.440744,5
dart,threads,200000000,1,1.410014,5
dart,fork,200000000,2,0.740710,5
dart,threads,200000000,2,0.915604,5
dart,fork,200000000,4,0.492250,5
dart,threads,200000000,4,0.510958,5
dart,fork,200000000,8,0.458202,5
dart,threads,200000000,8,0.405198,5
dart,fork,200000000,16,0.330789,5
dart,threads,200000000,16,0.337639,5
dart,fork,400000000,1,2.934986,5
dart,serial,400000000,1,4.000548,5
dart,threads,400000000,1,2.820906,5
dart,fork,400000000,2,1.480397,5
dart,threads,400000000,2,1.476629,5
dart,fork,400000000,4,0.990181,5
dart,threads,400000000,4,1.197210,5
dart,fork,400000000,8,0.854584,5
dart,threads,400000000,8,0.811286,5
dart,fork,400000000,16,0.654400,5
dart,threads,400000000,16,0.649167,5
dart,fork,800000000,1,5.814107,5
dart,serial,800000000,1,8.173017,5
dart,threads,800000000,1,5.786778,5
dart,fork,800000000,2,3.062199,5
dart,threads,800000000,2,2.941454,5
dart,fork,800000000,4,2.162321,5
dart,threads,800000000,4,2.066386,5
dart,fork,800000000,8,1.555632,5
dart,threads,800000000,8,1.716455,5
dart,fork,800000000,16,1.432270,5
dart,threads,800000000,16,1.280763,5
dart,fork,1600000000,1,11.466669,5
dart,serial,1600000000,1,16.548722,5
dart,threads,1600000000,1,11.541568,5
dart,fork,1600000000,2,6.100610,5
dart,threads,1600000000,2,6.256512,5
dart,fork,1600000000,4,4.211470,5
dart,threads,1600000000,4,3.692906,5
dart,fork,1600000000,8,3.052829,5
dart,threads,1600000000,8,3.215573,5
dart,fork,1600000000,16,2.634529,5
dart,threads,1600000000,16,2.545339,5
dart,fork,3200000000,1,23.104226,5
dart,serial,3200000000,1,32.857027,5
dart,threads,3200000000,1,22.915282,5
dart,fork,3200000000,2,12.267840,5
dart,threads,3200000000,2,12.705947,5
dart,fork,3200000000,4,7.953674,5
dart,threads,3200000000,4,8.530463,5
dart,fork,3200000000,8,5.968710,5
dart,threads,3200000000,8,5.850664,5
dart,fork,3200000000,16,5.212487,5
dart,threads,3200000000,16,5.052368,5
dart,fork,6400000000,1,46.209258,5
dart,serial,6400000000,1,65.637676,5
dart,threads,6400000000,1,46.180452,5
dart,fork,6400000000,2,25.062556,5
dart,threads,6400000000,2,24.439696,5
dart,fork,6400000000,4,16.265084,5
dart,threads,6400000000,4,16.394362,5
dart,fork,6400000000,8,11.267958,5
dart,threads,6400000000,8,11.482542,5
dart,fork,6400000000,16,10.297459,5
dart,threads,6400000000,16,10.323441,5
needle,fork,20000000,1,0.586330,5
needle,serial,20000000,1,0.586189,5
needle,threads,20000000,1,0.589669,5
needle,fork,20000000,2,0.305982,5
needle,threads,20000000,2,0.325105,5
needle,fork,20000000,4,0.176194,5
needle,threads,20000000,4,0.177274,5
needle,fork,20000000,8,0.117626,5
needle,threads,20000000,8,0.118361,5
needle,fork,20000000,16,0.089622,5
needle,threads,20000000,16,0.089105,5
needle,fork,40000000,1,1.261256,5
needle,serial,40000000,1,1.170249,5
needle,threads,40000000,1,1.176104,5
needle,fork,40000000,2,0.623693,5
needle,threads,40000000,2,0.609541,5
needle,fork,40000000,4,0.335369,5
needle,threads,40000000,4,0.483304,5
needle,fork,40000000,8,0.230419,5
needle,threads,40000000,8,0.230454,5
needle,fork,40000000,16,0.163098,5
needle,threads,40000000,16,0.159613,5
needle,fork,80000000,1,2.296055,5
needle,serial,80000000,1,2.290228,5
needle,threads,80000000,1,2.350565,5
needle,fork,80000000,2,1.186602,5
needle,threads,80000000,2,1.218108,5
needle,fork,80000000,4,0.692251,5
needle,threads,80000000,4,0.698032,5
needle,fork,80000000,8,0.552532,5
needle,threads,80000000,8,0.450025,5
needle,fork,80000000,16,0.304685,5
needle,threads,80000000,16,0.305156,5
needle,fork,200000000,1,5.715940,5
needle,serial,200000000,1,5.726459,5
needle,threads,200000000,1,6.001622,5
needle,fork,200000000,2,3.062024,5
needle,threads,200000000,2,3.205308,5
needle,fork,200000000,4,1.708356,5
needle,threads,200000000,4,1.746767,5
needle,fork,200000000,8,1.095954,5
needle,threads,200000000,8,1.092288,5
needle,fork,200000000,16,0.730692,5
needle,threads,200000000,16,0.719405,5
needle,fork,400000000,1,11.618911,5
needle,serial,400000000,1,11.407865,5
needle,threads,400000000,1,11.974442,5
needle,fork,400000000,2,6.075684,5
needle,threads,400000000,2,6.190825,5
needle,fork,400000000,4,3.613142,5
needle,threads,400000000,4,3.670028,5
needle,fork,400000000,8,2.145677,5
needle,threads,400000000,8,2.141994,5
needle,fork,400000000,16,1.421672,5
needle,threads,400000000,16,1.436387,5
needle,fork,800000000,1,23.209887,5
needle,serial,800000000,1,22.752974,5
needle,threads,800000000,1,23.883884,5
needle,fork,800000000,2,12.034627,5
needle,threads,800000000,2,12.529656,5
needle,fork,800000000,4,7.045598,5
needle,threads,800000000,4,7.228565,5
needle,fork,800000000,8,4.245850,5
needle,threads,800000000,8,4.424524,5
needle,fork,800000000,16,2.886686,5
needle,threads,800000000,16,2.814069,5
needle,fork,1600000000,1,46.358783,5
needle,serial,1600000000,1,45.584578,5
needle,threads,1600000000,1,47.734357,5
needle,fork,1600000000,2,24.115588,5
needle,threads,1600000000,2,24.771283,5
needle,fork,1600000000,4,13.918317,5
needle,threads,1600000000,4,14.441642,5
needle,fork,1600000000,8,8.674577,5
needle,threads,1600000000,8,8.783019,5
needle,fork,1600000000,16,5.578995,5
needle,threads,1600000000,16,5.567084,5
needle,fork,3200000000,1,92.701701,5
needle,serial,3200000000,1,91.174648,5
needle,threads,3200000000,1,95.644190,5
needle,fork,3200000000,2,48.540592,5
needle,threads,3200000000,2,50.314531,5
needle,fork,3200000000,4,27.904508,5
needle,threads,3200000000,4,28.430644,5
needle,fork,3200000000,8,17.079540,5
needle,threads,3200000000,8,17.397433,5
needle,fork,3200000000,16,11.309803,5
needle,threads,3200000000,16,11.211045,5
needle,fork,6400000000,1,184.803703,5
needle,serial,6400000000,1,182.000898,5
needle,threads,6400000000,1,191.119947,5
needle,fork,6400000000,2,97.658318,5
needle,threads,6400000000,2,100.302358,5
needle,fork,6400000000,4,55.634439,5
needle,threads,6400000000,4,57.027829,5
needle,fork,6400000000,8,33.882822,5
needle,threads,6400000000,8,34.702704,5
needle,fork,6400000000,16,22.582103,5
needle,threads,6400000000,16,22.648820,5
