Tipo, Tamaño, Repeticion, Movimientos totales, Tiempo total, Velocidad promedio
Serial, 100000, 1, 48384453, 0.235745, 0.965565
Serial, 200000, 1, 96638586, 0.490806, 0.965363
Serial, 300000, 1, 144938306, 0.759352, 0.965078
Serial, 400000, 1, 193200366, 0.964236, 0.965674
Serial, 500000, 1, 241471516, 1.228913, 0.965608

Serial, 100000, 2, 48222698, 0.231270, 0.968833
Serial, 200000, 2, 96733735, 0.466708, 0.967173
Serial, 300000, 2, 145168812, 0.717378, 0.968270
Serial, 400000, 2, 193148934, 0.973249, 0.966760
Serial, 500000, 2, 241289141, 1.194047, 0.965272

Serial, 100000, 3, 48371257, 0.228800, 0.964224
Serial, 200000, 3, 96629178, 0.459915, 0.963901
Serial, 300000, 3, 144745440, 0.722675, 0.963691
Serial, 400000, 3, 192921881, 0.975501, 0.963675
Serial, 500000, 3, 241552523, 1.186102, 0.965608

Serial, 100000, 4, 48196406, 0.229431, 0.961927
Serial, 200000, 4, 96397294, 0.480463, 0.962923
Serial, 300000, 4, 144600477, 0.708834, 0.965239
Serial, 400000, 4, 192917695, 0.962352, 0.964936
Serial, 500000, 4, 241194757, 1.208167, 0.964254

Serial, 100000, 5, 48339998, 0.226024, 0.965603
Serial, 200000, 5, 96643544, 0.459613, 0.968469
Serial, 300000, 5, 144883730, 0.731237, 0.966755
Serial, 400000, 5, 193135708, 0.952470, 0.964911
Serial, 500000, 5, 241408009, 1.202138, 0.967614

Serial, 100000, 6, 48222915, 0.228747, 0.964516
Serial, 200000, 6, 96373311, 0.468463, 0.964756
Serial, 300000, 6, 144794629, 0.713162, 0.964038
Serial, 400000, 6, 193166739, 1.567038, 0.965033
Serial, 500000, 6, 241424020, 0.999290, 0.964843

Serial, 100000, 7, 48227684, 0.163103, 0.960653
Serial, 200000, 7, 96469159, 0.333972, 0.960638
Serial, 300000, 7, 144881704, 0.540423, 0.967122
Serial, 400000, 7, 193236671, 0.789913, 0.965831
Serial, 500000, 7, 241537026, 1.005498, 0.965723

Serial, 100000, 8, 48349600, 0.173604, 0.967553
Serial, 200000, 8, 96651039, 0.389767, 0.964938
Serial, 300000, 8, 144940646, 0.533713, 0.965087
Serial, 400000, 8, 193082810, 0.741170, 0.963463
Serial, 500000, 8, 241169727, 0.861647, 0.964100

Serial, 100000, 9, 48292918, 0.157084, 0.966922
Serial, 200000, 9, 96411734, 0.325742, 0.966960
Serial, 300000, 9, 144664644, 0.490195, 0.965474
Serial, 400000, 9, 193365572, 0.644254, 0.965062
Serial, 500000, 9, 241552992, 0.856223, 0.965957

Serial, 100000, 10, 48314882, 0.156174, 0.959771
Serial, 200000, 10, 96673026, 0.365899, 0.963253
Serial, 300000, 10, 144826987, 0.525007, 0.965803
Serial, 400000, 10, 193128352, 0.691202, 0.965801
Serial, 500000, 10, 241547099, 1.155978, 0.967225

